,0,1,2,3
42.7,0,1,1,1
39.7,1,12,13,12
39.0,42,47,89,47
40.1,1,13,14,13
39.8,0,18,18,19
38.9,0,32,32,32
38.5,5,76,81,76
37.8,0,116,116,117
37.6,0,102,102,101
37.4,0,88,88,88
37.0,82,16,98,16
41.3,0,1,1,1
41.2,0,1,1,1
41.1,0,1,1,1
41.0,7,6,13,6
40.9,0,3,3,3
40.8,0,3,3,3
40.6,0,5,5,5
37.2,1,25,26,25
40.5,0,10,10,10
40.0,0,0,0,17
39.5,0,36,36,36
37.9,3,94,97,93
40.4,0,3,3,3
40.3,1,6,7,6
39.4,1,29,30,29
40.2,0,13,13,13
39.6,0,21,21,21
38.2,1,103,104,103
38.0,24,109,133,108
38.3,1,50,51,50
39.3,0,27,27,27
38.4,2,66,68,65
38.1,0,87,87,87
37.7,0,89,89,89
37.5,0,73,73,73
37.3,0,37,37,37
39.2,0,22,22,22
39.1,0,30,30,30
38.8,2,48,50,48
38.7,0,43,43,43
38.6,2,53,55,53
36.7,0,3,3,3
37.1,1,23,24,23
36.9,0,9,9,9
39.9,1,19,20,19
36.8,0,9,9,9
36.5,0,3,3,3
36.3,0,1,1,1
36.2,0,1,1,1
